,SerialNumber,DocType,DBYear,PaperSecUID,PaperTitle,ArticleNumber,countryNumber,AuthorNumber,AffiliationNumber,Country,FullOrgName,OrgFirstClassName,Fullname,journaltitle
23,39050065,Article,2015,351351400002,Estimating the Cream Skimming Effect of School Choice,10.1086/679497,2,3,4,Taiwan,Natl Taiwan Univ,,"Huang, Ching-I",JOURNAL OF POLITICAL ECONOMY
24,39050065,Article,2015,351351400002,Estimating the Cream Skimming Effect of School Choice,10.1086/679497,2,3,4,USA,Natl Bur Econ Res,,"Taber, Christopher R.",JOURNAL OF POLITICAL ECONOMY
25,39050065,Article,2015,351351400002,Estimating the Cream Skimming Effect of School Choice,10.1086/679497,2,3,4,USA,Univ Wisconsin,,"Taber, Christopher R.",JOURNAL OF POLITICAL ECONOMY
26,39050065,Article,2015,351351400002,Estimating the Cream Skimming Effect of School Choice,10.1086/679497,2,3,4,USA,Yale Univ,,"Altonji, Joseph G.",JOURNAL OF POLITICAL ECONOMY
27,39050065,Article,2015,351351400002,Estimating the Cream Skimming Effect of School Choice,10.1086/679497,2,3,4,USA,Natl Bur Econ Res,,"Altonji, Joseph G.",JOURNAL OF POLITICAL ECONOMY
28,39050066,Article,2015,351351400003,Aligning Learning Incentives of Students and Teachers: Results from a Social Experiment in Mexican High Schools,10.1086/675910,1,4,2,USA,Univ Penn,,"Todd, Petra E.",JOURNAL OF POLITICAL ECONOMY
29,39050066,Article,2015,351351400003,Aligning Learning Incentives of Students and Teachers: Results from a Social Experiment in Mexican High Schools,10.1086/675910,1,4,2,USA,Univ Penn,,"Behrman, Jere R.",JOURNAL OF POLITICAL ECONOMY
30,39050066,Article,2015,351351400003,Aligning Learning Incentives of Students and Teachers: Results from a Social Experiment in Mexican High Schools,10.1086/675910,1,4,2,USA,Rice Univ,,"Wolpin, Kenneth I.",JOURNAL OF POLITICAL ECONOMY
31,39050066,Article,2015,351351400003,Aligning Learning Incentives of Students and Teachers: Results from a Social Experiment in Mexican High Schools,10.1086/675910,1,4,2,USA,Univ Penn,,"Wolpin, Kenneth I.",JOURNAL OF POLITICAL ECONOMY
32,39050067,Article,2015,351351400004,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,10.1086/679627,3,3,4,England,UCL,Inst Fiscal Studies,"Carneiro, Pedro",JOURNAL OF POLITICAL ECONOMY
33,39050067,Article,2015,351351400004,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,10.1086/679627,3,3,4,Norway,Norwegian Sch Econ,Ctr Econ Educ,"Salvanes, Kjell G.",JOURNAL OF POLITICAL ECONOMY
34,39050067,Article,2015,351351400004,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,10.1086/679627,3,3,4,Germany,Inst Study Labor IZA,,"Salvanes, Kjell G.",JOURNAL OF POLITICAL ECONOMY
35,39050067,Article,2015,351351400004,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,10.1086/679627,3,3,4,Norway,Univ Bergen,Ctr Econ Studies IFO,"Loken, Katrine V.",JOURNAL OF POLITICAL ECONOMY
36,39050067,Article,2015,351351400004,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,10.1086/679627,3,3,4,Germany,Inst Study Labor IZA,,"Loken, Katrine V.",JOURNAL OF POLITICAL ECONOMY
37,39050068,Article,2015,351351400005,The Generalized Roy Model and the Cost-Benefit Analysis of Social Programs,10.1086/679498,1,3,3,USA,NYU,,"Vytlacil, Edward",JOURNAL OF POLITICAL ECONOMY
38,39050068,Article,2015,351351400005,The Generalized Roy Model and the Cost-Benefit Analysis of Social Programs,10.1086/679498,1,3,3,USA,Univ Chicago,,"Eisenhauer, Philipp",JOURNAL OF POLITICAL ECONOMY
39,39050068,Article,2015,351351400005,The Generalized Roy Model and the Cost-Benefit Analysis of Social Programs,10.1086/679498,1,3,3,USA,Univ Chicago,,"Heckman, James J.",JOURNAL OF POLITICAL ECONOMY
40,39050068,Article,2015,351351400005,The Generalized Roy Model and the Cost-Benefit Analysis of Social Programs,10.1086/679498,1,3,3,USA,Amer Bar Fdn,,"Heckman, James J.",JOURNAL OF POLITICAL ECONOMY
41,39050069,Article,2015,351351400006,Linear Social Interactions Models,10.1086/679496,2,4,5,USA,Univ Missouri,,"Durlauf, Steven N.",JOURNAL OF POLITICAL ECONOMY
42,39050069,Article,2015,351351400006,Linear Social Interactions Models,10.1086/679496,2,4,5,USA,Cornell Univ,Inst Adv Studies,"Blume, Lawrence E.",JOURNAL OF POLITICAL ECONOMY
43,39050069,Article,2015,351351400006,Linear Social Interactions Models,10.1086/679496,2,4,5,USA,Santa Fe Inst,,"Blume, Lawrence E.",JOURNAL OF POLITICAL ECONOMY
44,39050069,Article,2015,351351400006,Linear Social Interactions Models,10.1086/679496,2,4,5,USA,Univ Missouri,,"Brock, William A.",JOURNAL OF POLITICAL ECONOMY
45,39050069,Article,2015,351351400006,Linear Social Interactions Models,10.1086/679496,2,4,5,USA,Univ Wisconsin,,"Brock, William A.",JOURNAL OF POLITICAL ECONOMY
46,39050069,Article,2015,351351400006,Linear Social Interactions Models,10.1086/679496,2,4,5,Germany,European Sch Management & Technol,,"Jayaraman, Rajshri",JOURNAL OF POLITICAL ECONOMY
47,39050070,Article,2015,351351400007,How Effective Is the Minimum Wage at Supporting the Poor?,10.1086/679626,1,1,1,USA,Stanford Univ,,"MaCurdy, Thomas",JOURNAL OF POLITICAL ECONOMY
48,39394176,Article,2015,354758500001,Standard-Essential Patents,10.1086/680995,2,2,3,USA,Harvard Univ,,"Lerner, Josh",JOURNAL OF POLITICAL ECONOMY
49,39394176,Article,2015,354758500001,Standard-Essential Patents,10.1086/680995,2,2,3,France,Toulouse Sch Econ,,"Tirole, Jean",JOURNAL OF POLITICAL ECONOMY
50,39394176,Article,2015,354758500001,Standard-Essential Patents,10.1086/680995,2,2,3,France,Inst Adv Study,,"Tirole, Jean",JOURNAL OF POLITICAL ECONOMY
51,39394177,Article,2015,354758500002,Robust Comparative Statics in Large Dynamic Economies,10.1086/680685,2,2,2,England,Univ Leicester,Leicester LE1 7RH,"Jensen, Martin Kaae",JOURNAL OF POLITICAL ECONOMY
52,39394177,Article,2015,354758500002,Robust Comparative Statics in Large Dynamic Economies,10.1086/680685,2,2,2,USA,MIT,,"Acemoglu, Daron",JOURNAL OF POLITICAL ECONOMY
53,39394178,Article,2015,354758500003,"Women and Power: Unpopular, Unwilling, or Held Back?",10.1086/680686,1,2,2,USA,Arizona State Univ,,"Casas-Arce, Pablo",JOURNAL OF POLITICAL ECONOMY
54,39394178,Article,2015,354758500003,"Women and Power: Unpopular, Unwilling, or Held Back?",10.1086/680686,1,2,2,USA,MIT,,"Saiz, Albert",JOURNAL OF POLITICAL ECONOMY
55,39394179,Article,2015,354758500004,"Young, Old, Conservative, and Bold: The Implications of Heterogeneity and Finite Lives for Asset Pricing",10.1086/680996,1,2,4,USA,Natl Bur Econ Res,,"Panageas, Stavros",JOURNAL OF POLITICAL ECONOMY
56,39394179,Article,2015,354758500004,"Young, Old, Conservative, and Bold: The Implications of Heterogeneity and Finite Lives for Asset Pricing",10.1086/680996,1,2,4,USA,Univ Chicago,,"Panageas, Stavros",JOURNAL OF POLITICAL ECONOMY
57,39394179,Article,2015,354758500004,"Young, Old, Conservative, and Bold: The Implications of Heterogeneity and Finite Lives for Asset Pricing",10.1086/680996,1,2,4,USA,Natl Bur Econ Res,,"Garleanu, Nicolae",JOURNAL OF POLITICAL ECONOMY
58,39394179,Article,2015,354758500004,"Young, Old, Conservative, and Bold: The Implications of Heterogeneity and Finite Lives for Asset Pricing",10.1086/680996,1,2,4,USA,Univ Calif Berkeley,,"Garleanu, Nicolae",JOURNAL OF POLITICAL ECONOMY
59,39394179,Article,2015,354758500004,"Young, Old, Conservative, and Bold: The Implications of Heterogeneity and Finite Lives for Asset Pricing",10.1086/680996,1,2,4,USA,Ctr Econ Policy Res,,"Garleanu, Nicolae",JOURNAL OF POLITICAL ECONOMY
60,39394180,Article,2015,354758500005,Environmental Regulations and Corruption: Automobile Emissions in Mexico City,10.1086/680936,1,1,2,USA,Univ Calif Santa Barbara,,"Oliva, Paulina",JOURNAL OF POLITICAL ECONOMY
61,39394180,Article,2015,354758500005,Environmental Regulations and Corruption: Automobile Emissions in Mexico City,10.1086/680936,1,1,2,USA,Natl Bur Econ Res,,"Oliva, Paulina",JOURNAL OF POLITICAL ECONOMY
62,39794695,Review,2015,359159300001,"Is Piketty's ""Second Law of Capitalism"" Fundamental?",10.1086/682574,2,2,3,USA,Natl Bur Econ Res,,"Krusell, Per",JOURNAL OF POLITICAL ECONOMY
63,39794695,Review,2015,359159300001,"Is Piketty's ""Second Law of Capitalism"" Fundamental?",10.1086/682574,2,2,3,Sweden,Univ Gothenburg,Inst Int Econ Studies,"Krusell, Per",JOURNAL OF POLITICAL ECONOMY
64,39794695,Review,2015,359159300001,"Is Piketty's ""Second Law of Capitalism"" Fundamental?",10.1086/682574,2,2,3,USA,Yale Univ,,"Smith, Anthony A., Jr.",JOURNAL OF POLITICAL ECONOMY
65,39794695,Review,2015,359159300001,"Is Piketty's ""Second Law of Capitalism"" Fundamental?",10.1086/682574,2,2,3,USA,Natl Bur Econ Res,,"Smith, Anthony A., Jr.",JOURNAL OF POLITICAL ECONOMY
66,39794696,Review,2015,359159300002,Capital in the Twenty-First Century: A Review Essay,10.1086/682367,2,2,3,USA,Univ Wisconsin,,"Durlauf, Steven N.",JOURNAL OF POLITICAL ECONOMY
67,39794696,Review,2015,359159300002,Capital in the Twenty-First Century: A Review Essay,10.1086/682367,2,2,3,USA,Santa Fe Inst,,"Blume, Lawrence E.",JOURNAL OF POLITICAL ECONOMY
68,39794696,Review,2015,359159300002,Capital in the Twenty-First Century: A Review Essay,10.1086/682367,2,2,3,Austria,Cornell Univ,Inst Adv Studies IHS,"Blume, Lawrence E.",JOURNAL OF POLITICAL ECONOMY
69,39794697,Article,2015,359159300003,Uncertainty and Disagreement in Equilibrium Models,10.1086/681241,2,2,2,USA,Northwestern Univ,,"Al-Najjar, Nabil I.",JOURNAL OF POLITICAL ECONOMY
70,39794697,Article,2015,359159300003,Uncertainty and Disagreement in Equilibrium Models,10.1086/681241,2,2,2,Israel,Tel Aviv Univ,,"Shmaya, Eran",JOURNAL OF POLITICAL ECONOMY
71,39794697,Article,2015,359159300003,Uncertainty and Disagreement in Equilibrium Models,10.1086/681241,2,2,2,USA,Northwestern Univ,,"Shmaya, Eran",JOURNAL OF POLITICAL ECONOMY
72,39794698,Article,2015,359159300004,The Anatomy of French Production Hierarchies,10.1086/681641,1,3,3,USA,Yale Univ,,"Caliendo, Lorenzo",JOURNAL OF POLITICAL ECONOMY
73,39794698,Article,2015,359159300004,The Anatomy of French Production Hierarchies,10.1086/681641,1,3,3,USA,Princeton Univ,,"Rossi-Hansberg, Esteban",JOURNAL OF POLITICAL ECONOMY
74,39794698,Article,2015,359159300004,The Anatomy of French Production Hierarchies,10.1086/681641,1,3,3,USA,Johns Hopkins Univ,,"Monte, Ferdinando",JOURNAL OF POLITICAL ECONOMY
75,39794699,Article,2015,359159300005,Poultry in Motion: A Study of International Trade Finance Practices,10.1086/681592,1,2,2,USA,Natl Bur Econ Res,,"Antras, Pol",JOURNAL OF POLITICAL ECONOMY
76,39794699,Article,2015,359159300005,Poultry in Motion: A Study of International Trade Finance Practices,10.1086/681592,1,2,2,USA,Harvard Univ,,"Antras, Pol",JOURNAL OF POLITICAL ECONOMY
77,39794699,Article,2015,359159300005,Poultry in Motion: A Study of International Trade Finance Practices,10.1086/681592,1,2,2,USA,Harvard Univ,,"Foley, C. Fritz",JOURNAL OF POLITICAL ECONOMY
78,39794699,Article,2015,359159300005,Poultry in Motion: A Study of International Trade Finance Practices,10.1086/681592,1,2,2,USA,Natl Bur Econ Res,,"Foley, C. Fritz",JOURNAL OF POLITICAL ECONOMY
79,39794700,Article,2015,359159300006,"Economic Effects of Runs on Early ""Shadow Banks"": Trust Companies and the Impact of the Panic of 1907",10.1086/681575,1,3,3,USA,Natl Bur Econ Res,,"Frydman, Carola",JOURNAL OF POLITICAL ECONOMY
80,39794700,Article,2015,359159300006,"Economic Effects of Runs on Early ""Shadow Banks"": Trust Companies and the Impact of the Panic of 1907",10.1086/681575,1,3,3,USA,Boston Univ,,"Frydman, Carola",JOURNAL OF POLITICAL ECONOMY
81,39794700,Article,2015,359159300006,"Economic Effects of Runs on Early ""Shadow Banks"": Trust Companies and the Impact of the Panic of 1907",10.1086/681575,1,3,3,USA,Fed Reserve Bank New York,,"Zhou, Lily Y.",JOURNAL OF POLITICAL ECONOMY
82,39794700,Article,2015,359159300006,"Economic Effects of Runs on Early ""Shadow Banks"": Trust Companies and the Impact of the Panic of 1907",10.1086/681575,1,3,3,USA,Natl Bur Econ Res,,"Hilt, Eric",JOURNAL OF POLITICAL ECONOMY
83,39794701,Article,2015,359159300007,Adverse Selection in the Annuity Market and the Role for Social Security,10.1086/681593,1,1,1,USA,Arizona State Univ,,"Hosseini, Roozbeh",JOURNAL OF POLITICAL ECONOMY
84,40286165,Article,2015,363988300001,The Medium-Term Impacts of High-Achieving Charter Schools,10.1086/682718,1,2,3,USA,Harvard Univ,EdLabs,"Fryer, Roland G., Jr.",JOURNAL OF POLITICAL ECONOMY
85,40286165,Article,2015,363988300001,The Medium-Term Impacts of High-Achieving Charter Schools,10.1086/682718,1,2,3,USA,Natl Bur Econ Res,,"Fryer, Roland G., Jr.",JOURNAL OF POLITICAL ECONOMY
86,40286165,Article,2015,363988300001,The Medium-Term Impacts of High-Achieving Charter Schools,10.1086/682718,1,2,3,USA,Princeton Univ,EdLabs,"Dobbie, Will",JOURNAL OF POLITICAL ECONOMY
87,40286165,Article,2015,363988300001,The Medium-Term Impacts of High-Achieving Charter Schools,10.1086/682718,1,2,3,USA,Natl Bur Econ Res,,"Dobbie, Will",JOURNAL OF POLITICAL ECONOMY
88,40286166,Article,2015,363988300002,Political Economy in a Changing World,10.1086/682679,2,3,3,USA,MIT,,"Acemoglu, Daron",JOURNAL OF POLITICAL ECONOMY
89,40286166,Article,2015,363988300002,Political Economy in a Changing World,10.1086/682679,2,3,3,Russia,Higher Sch Econ,,"Sonin, Konstantin",JOURNAL OF POLITICAL ECONOMY
90,40286166,Article,2015,363988300002,Political Economy in a Changing World,10.1086/682679,2,3,3,USA,Northwestern Univ,,"Egorov, Georgy",JOURNAL OF POLITICAL ECONOMY
91,40286167,Article,2015,363988300003,Strategic Mass Killings,10.1086/682584,3,3,5,Spain,Barcelona Grad Sch Econ,,"Esteban, Joan",JOURNAL OF POLITICAL ECONOMY
92,40286167,Article,2015,363988300003,Strategic Mass Killings,10.1086/682584,3,3,5,Spain,Inst Anal Econ,,"Esteban, Joan",JOURNAL OF POLITICAL ECONOMY
93,40286167,Article,2015,363988300003,Strategic Mass Killings,10.1086/682584,3,3,5,Italy,Bocconi Univ,,"Morelli, Massimo",JOURNAL OF POLITICAL ECONOMY
94,40286167,Article,2015,363988300003,Strategic Mass Killings,10.1086/682584,3,3,5,Italy,Innocenzo Gasparini Inst Econ Res,,"Morelli, Massimo",JOURNAL OF POLITICAL ECONOMY
95,40286167,Article,2015,363988300003,Strategic Mass Killings,10.1086/682584,3,3,5,Switzerland,Univ Lausanne,,"Rohner, Dominic",JOURNAL OF POLITICAL ECONOMY
96,40286168,Article,2015,363988300004,"Entrepreneurs, Risk Aversion, and Dynamic Firms",10.1086/682678,1,3,2,USA,Univ Illinois,,"Krasa, Stefan",JOURNAL OF POLITICAL ECONOMY
97,40286168,Article,2015,363988300004,"Entrepreneurs, Risk Aversion, and Dynamic Firms",10.1086/682678,1,3,2,USA,Univ Iowa,,"Villamil, Anne P.",JOURNAL OF POLITICAL ECONOMY
98,40286168,Article,2015,363988300004,"Entrepreneurs, Risk Aversion, and Dynamic Firms",10.1086/682678,1,3,2,USA,Univ Illinois,,"Herranz, Neus",JOURNAL OF POLITICAL ECONOMY
99,40286169,Article,2015,363988300005,The Double Power Law in Consumption and Implications for Testing Euler Equations,10.1086/682729,1,2,2,USA,Univ Virginia,,"Walsh, Kieran",JOURNAL OF POLITICAL ECONOMY
100,40286169,Article,2015,363988300005,The Double Power Law in Consumption and Implications for Testing Euler Equations,10.1086/682729,1,2,2,USA,Univ Calif San Diego,,"Toda, Alexis Akira",JOURNAL OF POLITICAL ECONOMY
101,40286170,Editorial Material,2015,363988300006,Comment on the Campbell-Cochrane Habit Model,10.1086/676119,2,2,3,Sweden,Stockholm Sch Econ,,"Ljungqvist, Lars",JOURNAL OF POLITICAL ECONOMY
102,40286170,Editorial Material,2015,363988300006,Comment on the Campbell-Cochrane Habit Model,10.1086/676119,2,2,3,USA,NYU,,"Ljungqvist, Lars",JOURNAL OF POLITICAL ECONOMY
103,40286170,Editorial Material,2015,363988300006,Comment on the Campbell-Cochrane Habit Model,10.1086/676119,2,2,3,USA,Univ Chicago,,"Uhlig, Harald",JOURNAL OF POLITICAL ECONOMY
104,40286171,Editorial Material,2015,363988300007,The Fragile Benefits of Endowment Destruction,10.1086/681640,1,2,3,USA,Natl Bur Econ Res,,"Campbell, John Y.",JOURNAL OF POLITICAL ECONOMY
105,40286171,Editorial Material,2015,363988300007,The Fragile Benefits of Endowment Destruction,10.1086/681640,1,2,3,USA,Harvard Univ,,"Campbell, John Y.",JOURNAL OF POLITICAL ECONOMY
106,40286171,Editorial Material,2015,363988300007,The Fragile Benefits of Endowment Destruction,10.1086/681640,1,2,3,USA,Natl Bur Econ Res,,"Cochrane, John H.",JOURNAL OF POLITICAL ECONOMY
107,40286171,Editorial Material,2015,363988300007,The Fragile Benefits of Endowment Destruction,10.1086/681640,1,2,3,USA,Univ Chicago,Hoover Inst,"Cochrane, John H.",JOURNAL OF POLITICAL ECONOMY
108,40489605,Article,2015,366607500001,Self-Control at Work,10.1086/683822,1,3,3,USA,Natl Bur Econ Res,,"Mullainathan, Sendhil",JOURNAL OF POLITICAL ECONOMY
109,40489605,Article,2015,366607500001,Self-Control at Work,10.1086/683822,1,3,3,USA,Harvard Univ,,"Mullainathan, Sendhil",JOURNAL OF POLITICAL ECONOMY
110,40489605,Article,2015,366607500001,Self-Control at Work,10.1086/683822,1,3,3,USA,Natl Bur Econ Res,,"Kaur, Supreet",JOURNAL OF POLITICAL ECONOMY
111,40489605,Article,2015,366607500001,Self-Control at Work,10.1086/683822,1,3,3,USA,Columbia Univ,,"Kaur, Supreet",JOURNAL OF POLITICAL ECONOMY
112,40489605,Article,2015,366607500001,Self-Control at Work,10.1086/683822,1,3,3,USA,Harvard Univ,,"Kremer, Michael",JOURNAL OF POLITICAL ECONOMY
113,40489605,Article,2015,366607500001,Self-Control at Work,10.1086/683822,1,3,3,USA,Natl Bur Econ Res,,"Kremer, Michael",JOURNAL OF POLITICAL ECONOMY
114,40489606,Article,2015,366607500002,A Measure of Rationality and Welfare,10.1086/683838,1,2,3,Spain,Univ Pompeu Fabra,Catalan Inst Res & Adv Studies,"Apesteguia, Jose",JOURNAL OF POLITICAL ECONOMY
115,40489606,Article,2015,366607500002,A Measure of Rationality and Welfare,10.1086/683838,1,2,3,Spain,Barcelona Grad Sch Econ,,"Apesteguia, Jose",JOURNAL OF POLITICAL ECONOMY
116,40489606,Article,2015,366607500002,A Measure of Rationality and Welfare,10.1086/683838,1,2,3,Spain,Univ Autonoma Barcelona,,"Ballester, Miguel A.",JOURNAL OF POLITICAL ECONOMY
117,40489606,Article,2015,366607500002,A Measure of Rationality and Welfare,10.1086/683838,1,2,3,Spain,Barcelona Grad Sch Econ,,"Ballester, Miguel A.",JOURNAL OF POLITICAL ECONOMY
118,40489607,Article,2015,366607500003,Production versus Revenue Efficiency with Limited Tax Capacity: Theory and Evidence from Pakistan,10.1086/683849,2,5,4,England,Univ Manchester,Manchester M13 9PL,"Waseem, Mazhar",JOURNAL OF POLITICAL ECONOMY
119,40489607,Article,2015,366607500003,Production versus Revenue Efficiency with Limited Tax Capacity: Theory and Evidence from Pakistan,10.1086/683849,2,5,4,England,London Sch Econ,,"Spinnewijn, Johannes",JOURNAL OF POLITICAL ECONOMY
120,40489607,Article,2015,366607500003,Production versus Revenue Efficiency with Limited Tax Capacity: Theory and Evidence from Pakistan,10.1086/683849,2,5,4,USA,Stanford Univ,,"Best, Michael Carlos",JOURNAL OF POLITICAL ECONOMY
121,40489607,Article,2015,366607500003,Production versus Revenue Efficiency with Limited Tax Capacity: Theory and Evidence from Pakistan,10.1086/683849,2,5,4,USA,World Bank,,"Brockmeyer, Anne",JOURNAL OF POLITICAL ECONOMY
122,40489607,Article,2015,366607500003,Production versus Revenue Efficiency with Limited Tax Capacity: Theory and Evidence from Pakistan,10.1086/683849,2,5,4,England,London Sch Econ,,"Kleven, Henrik Jacobsen",JOURNAL OF POLITICAL ECONOMY
123,40489608,Article,2015,366607500004,Those Who Know Most: Insider Trading in Eighteenth-Century Amsterdam,10.1086/683839,1,1,2,USA,Stanford Univ,,"Koudijs, Peter",JOURNAL OF POLITICAL ECONOMY
124,40489608,Article,2015,366607500004,Those Who Know Most: Insider Trading in Eighteenth-Century Amsterdam,10.1086/683839,1,1,2,USA,Natl Bur Econ Res,,"Koudijs, Peter",JOURNAL OF POLITICAL ECONOMY
125,40489609,Article,2015,366607500005,Micro- and Macroeconomic Implications of Heterogeneity in the Production of Human Capital,10.1086/683989,3,3,4,USA,Univ Cent Florida,,"Das, Tirthatanmoy",JOURNAL OF POLITICAL ECONOMY
126,40489609,Article,2015,366607500005,Micro- and Macroeconomic Implications of Heterogeneity in the Production of Human Capital,10.1086/683989,3,3,4,Germany,Inst Study Labor IZA,,"Das, Tirthatanmoy",JOURNAL OF POLITICAL ECONOMY
127,40489609,Article,2015,366607500005,Micro- and Macroeconomic Implications of Heterogeneity in the Production of Human Capital,10.1086/683989,3,3,4,Germany,Inst Study Labor IZA,,"Polachek, Solomon W.",JOURNAL OF POLITICAL ECONOMY
128,40489609,Article,2015,366607500005,Micro- and Macroeconomic Implications of Heterogeneity in the Production of Human Capital,10.1086/683989,3,3,4,USA,SUNY Binghamton,,"Polachek, Solomon W.",JOURNAL OF POLITICAL ECONOMY
129,40489609,Article,2015,366607500005,Micro- and Macroeconomic Implications of Heterogeneity in the Production of Human Capital,10.1086/683989,3,3,4,Thailand,Kasetsart Univ,,"Thamma-Apiroam, Rewat",JOURNAL OF POLITICAL ECONOMY
130,40489610,Article,2015,366607500006,An Endowment Effect for Risk: Experimental Tests of Stochastic Reference Points,10.1086/683836,1,1,1,USA,Stanford Univ,,"Sprenger, Charles",JOURNAL OF POLITICAL ECONOMY
131,41032838,Article,2016,371920800001,"Carbon Taxes, Path Dependency, and Directed Technical Change: Evidence from the Auto Industry",,4,5,7,France,INSEAD,,"Hemous, David",JOURNAL OF POLITICAL ECONOMY
132,41032838,Article,2016,371920800001,"Carbon Taxes, Path Dependency, and Directed Technical Change: Evidence from the Auto Industry",,4,5,7,USA,Harvard Univ,Natl Bur Econ Res,"Aghion, Philippe",JOURNAL OF POLITICAL ECONOMY
