,PaperSecUID,PaperTitle,ArticleNumber,countryNumber,AuthorNumber,AffiliationNumber,Country,FullOrgName,OrgFirstClassName,Fullname,journaltitle
39,352625700006,SENTIMENTS AND AGGREGATE DEMAND FLUCTUATIONS,10.3982/ECTA11085,2,3,4,Peoples R China,Hong Kong Univ Sci & Technol,Dept Econ,"Wang, Pengfei",ECONOMETRICA
40,352625700006,SENTIMENTS AND AGGREGATE DEMAND FLUCTUATIONS,10.3982/ECTA11085,2,3,4,USA,NYU,Dept Econ,"Benhabib, Jess",ECONOMETRICA
41,352625700006,SENTIMENTS AND AGGREGATE DEMAND FLUCTUATIONS,10.3982/ECTA11085,2,3,4,USA,Fed Reserve Bank St Louis,,"Wen, Yi",ECONOMETRICA
42,352625700006,SENTIMENTS AND AGGREGATE DEMAND FLUCTUATIONS,10.3982/ECTA11085,2,3,4,Peoples R China,Tsinghua Univ,Sch Econ & Management,"Wen, Yi",ECONOMETRICA
43,352625700007,TIME HORIZON AND COOPERATION IN CONTINUOUS TIME,10.3982/ECTA11380,5,4,7,Germany,IZA,,"Casari, Marco",ECONOMETRICA
44,352625700007,TIME HORIZON AND COOPERATION IN CONTINUOUS TIME,10.3982/ECTA11380,5,4,7,Italy,Univ Bologna,Dept Econ,"Casari, Marco",ECONOMETRICA
45,352625700007,TIME HORIZON AND COOPERATION IN CONTINUOUS TIME,10.3982/ECTA11380,5,4,7,England,CEPR,,"Spagnolo, Giancarlo",ECONOMETRICA
46,352625700007,TIME HORIZON AND COOPERATION IN CONTINUOUS TIME,10.3982/ECTA11380,5,4,7,Italy,EIEF,,"Spagnolo, Giancarlo",ECONOMETRICA
47,352625700007,TIME HORIZON AND COOPERATION IN CONTINUOUS TIME,10.3982/ECTA11380,5,4,7,Italy,Univ Roma Tor Vergata,,"Spagnolo, Giancarlo",ECONOMETRICA
48,352625700007,TIME HORIZON AND COOPERATION IN CONTINUOUS TIME,10.3982/ECTA11380,5,4,7,Sweden,SITE SSE,,"Spagnolo, Giancarlo",ECONOMETRICA
49,352625700007,TIME HORIZON AND COOPERATION IN CONTINUOUS TIME,10.3982/ECTA11380,5,4,7,Italy,Univ Bologna,Dept Econ,"Bigoni, Maria",ECONOMETRICA
50,352625700007,TIME HORIZON AND COOPERATION IN CONTINUOUS TIME,10.3982/ECTA11380,5,4,7,USA,Stanford Univ,Grad Sch Business,"Skrzypacz, Andrzej",ECONOMETRICA
51,352625700008,NONPARAMETRIC WELFARE ANALYSIS FOR DISCRETE CHOICE,10.3982/ECTA12574,1,1,1,England,Univ Oxford,Dept Econ,"Bhattacharya, Debopam",ECONOMETRICA
52,352625700009,DYNAMIC LOGIT WITH CHOICE AVERSION,10.3982/ECTA11846,1,2,1,USA,Harvard Univ,Dept Econ,"Fudenberg, Drew",ECONOMETRICA
53,352625700009,DYNAMIC LOGIT WITH CHOICE AVERSION,10.3982/ECTA11846,1,2,1,USA,Harvard Univ,Dept Econ,"Strzalecki, Tomasz",ECONOMETRICA
54,352625700010,CAUTIOUS EXPECTED UTILITY AND THE CERTAINTY EFFECT,10.3982/ECTA11733,2,3,4,USA,Univ Penn,Dept Econ,"Dillenberger, David",ECONOMETRICA
55,352625700010,CAUTIOUS EXPECTED UTILITY AND THE CERTAINTY EFFECT,10.3982/ECTA11733,2,3,4,USA,Columbia Univ,Dept Econ,"Ortoleva, Pietro",ECONOMETRICA
56,352625700010,CAUTIOUS EXPECTED UTILITY AND THE CERTAINTY EFFECT,10.3982/ECTA11733,2,3,4,Italy,Univ Bocconi,Dept Decis Sci,"Cerreia-Vioglio, Simone",ECONOMETRICA
57,352625700010,CAUTIOUS EXPECTED UTILITY AND THE CERTAINTY EFFECT,10.3982/ECTA11733,2,3,4,Italy,Univ Bocconi,IGIER,"Cerreia-Vioglio, Simone",ECONOMETRICA
58,352625700011,A POLYNOMIAL OPTIMIZATION APPROACH TO PRINCIPAL-AGENT PROBLEMS,10.3982/ECTA11351,2,2,3,Switzerland,Swiss Finance Inst,,"Schmedders, Karl",ECONOMETRICA
59,352625700011,A POLYNOMIAL OPTIMIZATION APPROACH TO PRINCIPAL-AGENT PROBLEMS,10.3982/ECTA11351,2,2,3,Switzerland,Univ Zurich,,"Schmedders, Karl",ECONOMETRICA
60,352625700011,A POLYNOMIAL OPTIMIZATION APPROACH TO PRINCIPAL-AGENT PROBLEMS,10.3982/ECTA11351,2,2,3,USA,Stanford Univ,Hoover Inst,"Renner, Philipp",ECONOMETRICA
61,352625700012,NEARLY OPTIMAL TESTS WHEN A NUISANCE PARAMETER IS PRESENT UNDER THE NULL HYPOTHESIS,10.3982/ECTA10535,1,3,2,USA,Princeton Univ,Dept Econ,"Mueller, Ulrich K.",ECONOMETRICA
62,352625700012,NEARLY OPTIMAL TESTS WHEN A NUISANCE PARAMETER IS PRESENT UNDER THE NULL HYPOTHESIS,10.3982/ECTA10535,1,3,2,USA,Univ Calif San Diego,,"Elliott, Graham",ECONOMETRICA
63,352625700012,NEARLY OPTIMAL TESTS WHEN A NUISANCE PARAMETER IS PRESENT UNDER THE NULL HYPOTHESIS,10.3982/ECTA10535,1,3,2,USA,Princeton Univ,Dept Econ,"Watson, Mark W.",ECONOMETRICA
64,352625700013,BOOTSTRAP TESTING OF HYPOTHESES ON CO-INTEGRATION RELATIONS IN VECTOR AUTOREGRESSIVE MODELS,10.3982/ECTA11952,2,3,2,Denmark,Univ Copenhagen,Dept Econ,"Cavaliere, Giuseppe",ECONOMETRICA
65,352625700013,BOOTSTRAP TESTING OF HYPOTHESES ON CO-INTEGRATION RELATIONS IN VECTOR AUTOREGRESSIVE MODELS,10.3982/ECTA11952,2,3,2,Italy,Univ Bologna,Dept Stat Sci,"Cavaliere, Giuseppe",ECONOMETRICA
66,352625700013,BOOTSTRAP TESTING OF HYPOTHESES ON CO-INTEGRATION RELATIONS IN VECTOR AUTOREGRESSIVE MODELS,10.3982/ECTA11952,2,3,2,Denmark,Univ Copenhagen,Dept Econ,"Rahbek, Anders",ECONOMETRICA
67,352625700013,BOOTSTRAP TESTING OF HYPOTHESES ON CO-INTEGRATION RELATIONS IN VECTOR AUTOREGRESSIVE MODELS,10.3982/ECTA11952,2,3,2,Denmark,Univ Copenhagen,Dept Econ,"Nielsen, Heino Bohn",ECONOMETRICA
68,355990500003,Investment and Competitive Matching,10.3982/ECTA12349,2,2,2,USA,Yale Univ,Dept Econ,"Samuelson, Larry",ECONOMETRICA
69,355990500003,Investment and Competitive Matching,10.3982/ECTA12349,2,2,2,Switzerland,Univ Basel,Fac Business & Econ,"Noeldeke, Georg",ECONOMETRICA
70,355990500004,Large Matching Markets as Two-Sided Demand Systems,10.3982/ECTA12299,1,1,1,USA,NYU,Dept Econ,"Menzel, Konrad",ECONOMETRICA
71,355990500005,Tenable Strategy Blocks and Settled Equilibria,10.3982/ECTA11048,2,2,4,USA,Univ Chicago,Dept Econ,"Myerson, Roger",ECONOMETRICA
72,355990500005,Tenable Strategy Blocks and Settled Equilibria,10.3982/ECTA11048,2,2,4,Sweden,Stockholm Sch Econ,Dept Econ,"Weibull, Jorgen",ECONOMETRICA
73,355990500005,Tenable Strategy Blocks and Settled Equilibria,10.3982/ECTA11048,2,2,4,Sweden,Inst Adv Study Toulouse,,"Weibull, Jorgen",ECONOMETRICA
74,355990500005,Tenable Strategy Blocks and Settled Equilibria,10.3982/ECTA11048,2,2,4,Sweden,KTH Royal Inst Technol,Dept Math,"Weibull, Jorgen",ECONOMETRICA
75,355990500006,The Farsighted Stable Set,10.3982/ECTA12022,1,2,2,USA,NYU,Dept Econ,"Ray, Debraj",ECONOMETRICA
76,355990500006,The Farsighted Stable Set,10.3982/ECTA12022,1,2,2,USA,Brown Univ,Dept Econ,"Vohra, Rajiv",ECONOMETRICA
77,355990500007,Sieve Wald and QLR Inferences on Semi/Nonparametric Conditional Moment Models,10.3982/ECTA10771,1,2,2,USA,Univ Calif Berkeley,Dept Econ,"Pouzo, Demian",ECONOMETRICA
78,355990500007,Sieve Wald and QLR Inferences on Semi/Nonparametric Conditional Moment Models,10.3982/ECTA10771,1,2,2,USA,Yale Univ,Cowles Fdn Res Econ,"Chen, Xiaohong",ECONOMETRICA
79,355990500008,Parametric Inference and Dynamic State Recovery From Option Panels,10.3982/ECTA10719,2,3,4,USA,Johns Hopkins Univ,Carey Business Sch,"Fusari, Nicola",ECONOMETRICA
80,355990500008,Parametric Inference and Dynamic State Recovery From Option Panels,10.3982/ECTA10719,2,3,4,USA,Northwestern Univ,Kellogg Sch Management,"Todorov, Viktor",ECONOMETRICA
81,355990500008,Parametric Inference and Dynamic State Recovery From Option Panels,10.3982/ECTA10719,2,3,4,USA,NBER,,"Andersen, Torben G.",ECONOMETRICA
82,355990500008,Parametric Inference and Dynamic State Recovery From Option Panels,10.3982/ECTA10719,2,3,4,USA,Northwestern Univ,Kellogg Sch Management,"Andersen, Torben G.",ECONOMETRICA
83,355990500008,Parametric Inference and Dynamic State Recovery From Option Panels,10.3982/ECTA10719,2,3,4,Denmark,CREATES,,"Andersen, Torben G.",ECONOMETRICA
84,355990500009,Grouped Patterns of Heterogeneity in Panel Data,10.3982/ECTA11319,1,2,2,USA,Univ Chicago,Dept Econ,"Bonhomme, Stephane",ECONOMETRICA
85,355990500009,Grouped Patterns of Heterogeneity in Panel Data,10.3982/ECTA11319,1,2,2,USA,MIT,Alfred P Sloan Sch Management,"Manresa, Elena",ECONOMETRICA
86,355990500010,Identification of Nonseparable Models Using Instruments With Small Support,10.3982/ECTA9984,1,1,1,USA,Northwestern Univ,Dept Econ,"Torgovitsky, Alexander",ECONOMETRICA
87,355990500011,Identification of Nonseparable Triangular Models With Discrete Instruments,10.3982/ECTA10038,1,2,1,France,CREST,,"Fevrier, Philippe",ECONOMETRICA
88,355990500012,The Economics of Counterfeiting,10.3982/ECTA10975,1,2,2,USA,Univ Wisconsin,Dept Econ,"Smith, Lones",ECONOMETRICA
89,355990500012,The Economics of Counterfeiting,10.3982/ECTA10975,1,2,2,USA,Cent Michigan Univ,Dept Econ,"Quercioli, Elena",ECONOMETRICA
90,355990500013,"Corrigendum to ""Discounted Stochastic Games With No Stationary Nash Equilibrium: Two Examples""",10.3982/ECTA12183,2,2,2,Australia,Univ Queensland,Sch Econ,"McLennan, Andrew",ECONOMETRICA
91,355990500013,"Corrigendum to ""Discounted Stochastic Games With No Stationary Nash Equilibrium: Two Examples""",10.3982/ECTA12183,2,2,2,England,Univ Oxford,Nuffield Coll,"Levy, Yehuda John",ECONOMETRICA
92,358727200003,Equilibria in Health Exchanges: Adverse Selection versus Reclassification Risk,10.3982/ECTA12480,1,3,4,USA,Univ Calif Berkeley,Dept Econ,"Handel, Ben",ECONOMETRICA
93,358727200003,Equilibria in Health Exchanges: Adverse Selection versus Reclassification Risk,10.3982/ECTA12480,1,3,4,USA,MIT,Alfred P Sloan Sch Management,"Whinston, Michael D.",ECONOMETRICA
94,358727200003,Equilibria in Health Exchanges: Adverse Selection versus Reclassification Risk,10.3982/ECTA12480,1,3,4,USA,MIT,Dept Econ,"Whinston, Michael D.",ECONOMETRICA
95,358727200003,Equilibria in Health Exchanges: Adverse Selection versus Reclassification Risk,10.3982/ECTA12480,1,3,4,USA,Northwestern Univ,Dept Econ,"Hendel, Igal",ECONOMETRICA
96,358727200004,Trade Credit and the Propagation of Corporate Failure: An Empirical Analysis,10.3982/ECTA12148,1,2,1,Sweden,Sveriges Riksbank,Div Res,"Jacobson, Tor",ECONOMETRICA
97,358727200004,Trade Credit and the Propagation of Corporate Failure: An Empirical Analysis,10.3982/ECTA12148,1,2,1,Sweden,Sveriges Riksbank,Div Res,"von Schedvin, Erik",ECONOMETRICA
98,358727200005,Dynamic Marriage Matching: An Empirical Framework,10.3982/ECTA10675,1,1,1,Canada,Univ Calgary,Dept Econ,"Choo, Eugene",ECONOMETRICA
99,358727200006,"Commitment, Flexibility, and Optimal Screening of Time Inconsistency",10.3982/ECTA11851,1,1,1,USA,UCSD,Dept Econ,"Galperti, Simone",ECONOMETRICA
100,358727200007,Savage in the Market,10.3982/ECTA12273,1,2,1,USA,CALTECH,,"Saito, Kota",ECONOMETRICA
101,358727200007,Savage in the Market,10.3982/ECTA12273,1,2,1,USA,CALTECH,,"Echenique, Federico",ECONOMETRICA
102,358727200008,Power Enhancement in High-Dimensional Cross-Sectional Tests,10.3982/ECTA12749,2,3,4,USA,Univ Maryland,Dept Math,"Liao, Yuan",ECONOMETRICA
103,358727200008,Power Enhancement in High-Dimensional Cross-Sectional Tests,10.3982/ECTA12749,2,3,4,USA,Princeton Univ,Dept Operat Res & Financial Engn,"Fan, Jianqing",ECONOMETRICA
104,358727200008,Power Enhancement in High-Dimensional Cross-Sectional Tests,10.3982/ECTA12749,2,3,4,Peoples R China,Sun Yat Sen Univ,Lingnan Coll,"Fan, Jianqing",ECONOMETRICA
105,358727200008,Power Enhancement in High-Dimensional Cross-Sectional Tests,10.3982/ECTA12749,2,3,4,Peoples R China,Capital Univ Econ & Business,Int Sch Econ & Management,"Fan, Jianqing",ECONOMETRICA
106,358727200008,Power Enhancement in High-Dimensional Cross-Sectional Tests,10.3982/ECTA12749,2,3,4,USA,Princeton Univ,Dept Operat Res & Financial Engn,"Yao, Jiawei",ECONOMETRICA
107,358727200009,Linear Regression for Panel With Unknown Number of Factors as Interactive Fixed Effects,10.3982/ECTA9382,3,2,5,England,CeMMaP,,"Weidner, Martin",ECONOMETRICA
108,358727200009,Linear Regression for Panel With Unknown Number of Factors as Interactive Fixed Effects,10.3982/ECTA9382,3,2,5,England,UCL,Dept Econ,"Weidner, Martin",ECONOMETRICA
109,358727200009,Linear Regression for Panel With Unknown Number of Factors as Interactive Fixed Effects,10.3982/ECTA9382,3,2,5,USA,Univ So Calif,Dept Econ,"Moon, Hyungsik Roger",ECONOMETRICA
110,358727200009,Linear Regression for Panel With Unknown Number of Factors as Interactive Fixed Effects,10.3982/ECTA9382,3,2,5,South Korea,Yonsei Univ,Dept Econ,"Moon, Hyungsik Roger",ECONOMETRICA
111,358727200009,Linear Regression for Panel With Unknown Number of Factors as Interactive Fixed Effects,10.3982/ECTA9382,3,2,5,USA,Univ So Calif,USC Dornsife INET,"Moon, Hyungsik Roger",ECONOMETRICA
112,358727200010,A Test of Exogeneity Without Instrumental Variables in Models With Bunching,10.3982/ECTA11231,1,1,1,USA,Univ Rochester,Dept Econ,"Caetano, Carolina",ECONOMETRICA
113,358727200011,Impatience versus Incentives,10.3982/ECTA11473,1,2,2,USA,Univ Penn,Wharton Sch,"Zhu, John Y.",ECONOMETRICA
114,358727200011,Impatience versus Incentives,10.3982/ECTA11473,1,2,2,USA,Univ Calif Berkeley,Haas Sch Business,"Opp, Marcus M.",ECONOMETRICA
115,358727200012,Tight Revenue Bounds With Possibilistic Beliefs and Level-k Rationality,10.3982/ECTA12563,1,3,3,USA,MIT,CSAIL,"Micali, Silvio",ECONOMETRICA
116,358727200012,Tight Revenue Bounds With Possibilistic Beliefs and Level-k Rationality,10.3982/ECTA12563,1,3,3,USA,SUNY Stony Brook,Dept Comp Sci,"Chen, Jing",ECONOMETRICA
117,358727200012,Tight Revenue Bounds With Possibilistic Beliefs and Level-k Rationality,10.3982/ECTA12563,1,3,3,USA,Cornell Univ,Dept Comp Sci,"Pass, Rafael",ECONOMETRICA
118,358727200013,A Dynamic Reinterpretation of Nash Bargaining With Endogenous Threats,10.3982/ECTA11711,1,2,2,USA,NYU,Dept Econ,"Pearce, David",ECONOMETRICA
119,358727200013,A Dynamic Reinterpretation of Nash Bargaining With Endogenous Threats,10.3982/ECTA11711,1,2,2,USA,Princeton Univ,Dept Econ,"Abreu, Dilip",ECONOMETRICA
120,362733900003,A Theory of the Stakeholder Corporation,10.3982/ECTA11455,3,3,5,Switzerland,Univ Zurich,Dept Banking & Finance,"Rochet, Jean-Charles",ECONOMETRICA
121,362733900003,A Theory of the Stakeholder Corporation,10.3982/ECTA11455,3,3,5,France,Toulouse Sch Econ IDEI,,"Rochet, Jean-Charles",ECONOMETRICA
122,362733900003,A Theory of the Stakeholder Corporation,10.3982/ECTA11455,3,3,5,Switzerland,SFI,,"Rochet, Jean-Charles",ECONOMETRICA
123,362733900003,A Theory of the Stakeholder Corporation,10.3982/ECTA11455,3,3,5,USA,Univ So Calif,Dept Econ,"Magill, Michael",ECONOMETRICA
124,362733900003,A Theory of the Stakeholder Corporation,10.3982/ECTA11455,3,3,5,USA,Univ Calif Davis,Dept Econ,"Quinzii, Martine",ECONOMETRICA
125,362733900004,KNIGHTIAN ANALYSIS OF THE VICKREY MECHANISM,10.3982/ECTA12131,1,3,2,USA,MIT,Comp Sci & Artificial Intelligence Lab,"Zhu, Zeyuan Allen",ECONOMETRICA
126,362733900004,KNIGHTIAN ANALYSIS OF THE VICKREY MECHANISM,10.3982/ECTA12131,1,3,2,USA,Univ Calif Berkeley,Dept Elect Engn & Comp Sci,"Chiesa, Alessandro",ECONOMETRICA
127,362733900004,KNIGHTIAN ANALYSIS OF THE VICKREY MECHANISM,10.3982/ECTA12131,1,3,2,USA,MIT,Comp Sci & Artificial Intelligence Lab,"Micali, Silvio",ECONOMETRICA
128,362733900005,STRATEGIC LEARNING AND THE TOPOLOGY OF SOCIAL NETWORKS,10.3982/ECTA12058,1,3,3,USA,CALTECH,Div Humanities & Social Sci,"Tamuz, Omer",ECONOMETRICA
129,362733900005,STRATEGIC LEARNING AND THE TOPOLOGY OF SOCIAL NETWORKS,10.3982/ECTA12058,1,3,3,USA,Univ Penn,Wharton Sch,"Mossel, Elchanan",ECONOMETRICA
130,362733900005,STRATEGIC LEARNING AND THE TOPOLOGY OF SOCIAL NETWORKS,10.3982/ECTA12058,1,3,3,USA,Univ Calif Berkeley,Dept Stat,"Sly, Allan",ECONOMETRICA
131,362733900006,Truthful Equilibria in Dynamic Bayesian Games,10.3982/ECTA12182,3,3,3,Singapore,Natl Univ Singapore,Fac Arts & Social Sci,"Takahashi, Satoru",ECONOMETRICA
132,362733900006,Truthful Equilibria in Dynamic Bayesian Games,10.3982/ECTA12182,3,3,3,France,HEC Paris,,"Vieille, Nicolas",ECONOMETRICA
133,362733900006,Truthful Equilibria in Dynamic Bayesian Games,10.3982/ECTA12182,3,3,3,USA,Yale Univ,Cowles Fdn,"Hoerner, Johannes",ECONOMETRICA
134,362733900007,Efficient Competition Through Cheap Talk: The Case of Competing Auctions,10.3982/ECTA12103,2,2,2,Scotland,Univ Edinburgh,Sch Econ,"Kircher, Philipp",ECONOMETRICA
135,362733900007,Efficient Competition Through Cheap Talk: The Case of Competing Auctions,10.3982/ECTA12103,2,2,2,USA,Univ Iowa,Henry B Tippie Coll Business,"Kim, Kyungmin",ECONOMETRICA
136,362733900008,Poverty and Self-Control,10.3982/ECTA11374,1,3,3,USA,Carnegie Mellon Univ,Tepper Sch Business,"Yeltekin, Sevin",ECONOMETRICA
137,362733900008,Poverty and Self-Control,10.3982/ECTA11374,1,3,3,USA,NYU,Dept Econ,"Ray, Debraj",ECONOMETRICA
138,362733900008,Poverty and Self-Control,10.3982/ECTA11374,1,3,3,USA,Stanford Univ,Dept Econ,"Bernheim, B. Douglas",ECONOMETRICA
139,362733900009,The Value of Free Water: Analyzing South Africa's Free Basic Water Policy,10.3982/ECTA11917,1,1,1,USA,Univ Houston,Dept Econ,"Szabo, Andrea",ECONOMETRICA
