,SerialNumber,DocType,DBYear,PaperSecUID,PaperTitle,ArticleNumber,countryNumber,AuthorNumber,AffiliationNumber,Country,FullOrgName,OrgFirstClassName,Fullname,journaltitle
18,38641330,Article,2015,347464300007,Paying Attention or Paying Too Much in Medicare Part D,10.1257/aer.20120651,2,3,4,USA,Leonard Davis Inst Hlth Econ,,"Lucarelli, Claudio",AMERICAN ECONOMIC REVIEW
19,38641330,Article,2015,347464300007,Paying Attention or Paying Too Much in Medicare Part D,10.1257/aer.20120651,2,3,4,USA,Arizona State Univ,WP Carey Sch Business,"Ketcham, Jonathan D.",AMERICAN ECONOMIC REVIEW
20,38641330,Article,2015,347464300007,Paying Attention or Paying Too Much in Medicare Part D,10.1257/aer.20120651,2,3,4,USA,Ctr Medicare & Medicaid Serv,Off Informat Prod & Data Analyt,"Powers, Christopher A.",AMERICAN ECONOMIC REVIEW
21,38641331,Article,2015,347464300008,"Cellular Service Demand: Biased Beliefs, Learning, and Bill Shock",10.1257/aer.20120283,2,2,3,USA,Boston Coll,Dept Econ,"Grubb, Michael D.",AMERICAN ECONOMIC REVIEW
22,38641331,Article,2015,347464300008,"Cellular Service Demand: Biased Beliefs, Learning, and Bill Shock",10.1257/aer.20120283,2,2,3,Canada,Univ Toronto,Inst Management & Innovat,"Osborne, Matthew",AMERICAN ECONOMIC REVIEW
23,38641331,Article,2015,347464300008,"Cellular Service Demand: Biased Beliefs, Learning, and Bill Shock",10.1257/aer.20120283,2,2,3,Canada,Univ Toronto,Rotman Sch Management,"Osborne, Matthew",AMERICAN ECONOMIC REVIEW
24,38641332,Article,2015,347464300009,Rational Inattention to Discrete Choices: A New Foundation for the Multinomial Logit Model,10.1257/aer.20130047,2,2,2,USA,Boston Univ,Dept Econ,"McKay, Alisdair",AMERICAN ECONOMIC REVIEW
25,38641332,Article,2015,347464300009,Rational Inattention to Discrete Choices: A New Foundation for the Multinomial Logit Model,10.1257/aer.20130047,2,2,2,Czech Republic,CERGE EI,,"Matejka, Filip",AMERICAN ECONOMIC REVIEW
26,38641333,Article,2015,347464300010,Revealed (P) Reference Theory,,2,3,3,Brazil,Univ Brasilia,Dept Econ,"Riella, Gil",AMERICAN ECONOMIC REVIEW
27,38641333,Article,2015,347464300010,Revealed (P) Reference Theory,,2,3,3,USA,NYU,Dept Econ,"Ok, Efe A.",AMERICAN ECONOMIC REVIEW
28,38641333,Article,2015,347464300010,Revealed (P) Reference Theory,,2,3,3,USA,Columbia Univ,Dept Econ,"Ortoleva, Pietro",AMERICAN ECONOMIC REVIEW
29,38641334,Article,2015,347464300011,How Do Voters Respond to Information? Evidence from a Randomized Campaign,,2,3,3,Canada,Univ British Columbia,Vancouver Sch Econ,"Trebbi, Francesco",AMERICAN ECONOMIC REVIEW
30,38641334,Article,2015,347464300011,How Do Voters Respond to Information? Evidence from a Randomized Campaign,,2,3,3,Italy,IGIER,,"Nannicini, Tommaso",AMERICAN ECONOMIC REVIEW
31,38641334,Article,2015,347464300011,How Do Voters Respond to Information? Evidence from a Randomized Campaign,,2,3,3,Italy,Bocconi Univ,Dept Econ,"Nannicini, Tommaso",AMERICAN ECONOMIC REVIEW
32,38641334,Article,2015,347464300011,How Do Voters Respond to Information? Evidence from a Randomized Campaign,,2,3,3,Canada,Univ British Columbia,Vancouver Sch Econ,"Kendall, Chad",AMERICAN ECONOMIC REVIEW
33,38641335,Article,2015,347464300012,Institutional Corruption and Election Fraud: Evidence from a Field Experiment in Afghanistan,10.1257/aer.20120427,1,2,2,USA,Univ Washington,Dept Polit Sci,"Long, James D.",AMERICAN ECONOMIC REVIEW
34,38641335,Article,2015,347464300012,Institutional Corruption and Election Fraud: Evidence from a Field Experiment in Afghanistan,10.1257/aer.20120427,1,2,2,USA,Harvard Univ,Harvard Kennedy Sch,"Callen, Michael",AMERICAN ECONOMIC REVIEW
35,38641336,Article,2015,347464300013,The Effect of the TseTse Fly on African Development,10.1257/aer.20130604,1,1,1,USA,Stanford Univ,,"Alsan, Marcella",AMERICAN ECONOMIC REVIEW
36,38641337,Article,2015,347464300014,When Does Regulation Distort Costs? Lessons from Fuel Procurement in US Electricity Generation,10.1257/aer.20131377,1,1,1,USA,Univ Chicago,Harris Sch Publ Policy,"Cicala, Steve",AMERICAN ECONOMIC REVIEW
37,38641338,Article,2015,347464300015,The Cost of Financial Frictions for Life Insurers,10.1257/aer.20121036,2,2,2,England,London Business Sch,,"Koijen, Ralph S. J.",AMERICAN ECONOMIC REVIEW
38,38641338,Article,2015,347464300015,The Cost of Financial Frictions for Life Insurers,10.1257/aer.20121036,2,2,2,USA,Fed Reserve Bank Minneapolis,Res Dept,"Yogo, Motohiro",AMERICAN ECONOMIC REVIEW
39,38851767,Article,2015,349335100001,The Impact of the Great Migration on Mortality of African Americans: Evidence from the Deep South,10.1257/aer.20120642,1,4,5,USA,Duke Univ,,"Sanders, Seth G.",AMERICAN ECONOMIC REVIEW
40,38851767,Article,2015,349335100001,The Impact of the Great Migration on Mortality of African Americans: Evidence from the Deep South,10.1257/aer.20120642,1,4,5,USA,Univ Michigan,,"Taylor, Evan J.",AMERICAN ECONOMIC REVIEW
41,38851767,Article,2015,349335100001,The Impact of the Great Migration on Mortality of African Americans: Evidence from the Deep South,10.1257/aer.20120642,1,4,5,USA,Carnegie Mellon Univ,,"Taylor, Lowell J.",AMERICAN ECONOMIC REVIEW
42,38851767,Article,2015,349335100001,The Impact of the Great Migration on Mortality of African Americans: Evidence from the Deep South,10.1257/aer.20120642,1,4,5,USA,NBER,,"Taylor, Lowell J.",AMERICAN ECONOMIC REVIEW
43,38851767,Article,2015,349335100001,The Impact of the Great Migration on Mortality of African Americans: Evidence from the Deep South,10.1257/aer.20120642,1,4,5,USA,Univ Chicago,,"Black, Dan A.",AMERICAN ECONOMIC REVIEW
44,38851768,Article,2015,349335100002,Overconfidence in Political Behavior,10.1257/aer.20130921,1,2,2,USA,CALTECH,Div Humanities & Social Sci,"Snowberg, Erik",AMERICAN ECONOMIC REVIEW
45,38851768,Article,2015,349335100002,Overconfidence in Political Behavior,10.1257/aer.20130921,1,2,2,USA,Columbia Univ,Dept Econ,"Ortoleva, Pietro",AMERICAN ECONOMIC REVIEW
46,38851769,Article,2015,349335100003,Robustness and Linear Contracts,10.1257/aer.20131159,1,1,1,USA,Stanford Univ,Dept Econ,"Carroll, Gabriel",AMERICAN ECONOMIC REVIEW
47,38851770,Article,2015,349335100004,Systemic Risk and Stability in Financial Networks,10.1257/aer.20130456,1,3,3,USA,MIT,Lab Informat & Decis Syst,"Ozdaglar, Asuman",AMERICAN ECONOMIC REVIEW
48,38851770,Article,2015,349335100004,Systemic Risk and Stability in Financial Networks,10.1257/aer.20130456,1,3,3,USA,MIT,Dept Econ,"Acemoglu, Daron",AMERICAN ECONOMIC REVIEW
49,38851770,Article,2015,349335100004,Systemic Risk and Stability in Financial Networks,10.1257/aer.20130456,1,3,3,USA,Columbia Univ,Columbia Business Sch,"Tahbaz-Salehi, Alireza",AMERICAN ECONOMIC REVIEW
50,38851771,Article,2015,349335100005,"Price Subsidies, Diagnostic Tests, and Targeting of Malaria Treatment: Evidence from a Randomized Controlled Trial",10.1257/aer.20130267,1,3,5,USA,Brookings Inst,,"Cohen, Jessica",AMERICAN ECONOMIC REVIEW
51,38851771,Article,2015,349335100005,"Price Subsidies, Diagnostic Tests, and Targeting of Malaria Treatment: Evidence from a Randomized Controlled Trial",10.1257/aer.20130267,1,3,5,USA,Harvard Univ,Sch Publ Hlth,"Cohen, Jessica",AMERICAN ECONOMIC REVIEW
52,38851771,Article,2015,349335100005,"Price Subsidies, Diagnostic Tests, and Targeting of Malaria Treatment: Evidence from a Randomized Controlled Trial",10.1257/aer.20130267,1,3,5,USA,NBER,,"Dupas, Pascaline",AMERICAN ECONOMIC REVIEW
53,38851771,Article,2015,349335100005,"Price Subsidies, Diagnostic Tests, and Targeting of Malaria Treatment: Evidence from a Randomized Controlled Trial",10.1257/aer.20130267,1,3,5,USA,Stanford Univ,Dept Econ,"Dupas, Pascaline",AMERICAN ECONOMIC REVIEW
54,38851771,Article,2015,349335100005,"Price Subsidies, Diagnostic Tests, and Targeting of Malaria Treatment: Evidence from a Randomized Controlled Trial",10.1257/aer.20130267,1,3,5,USA,Dartmouth Coll,Dept Econ,"Schaner, Simone",AMERICAN ECONOMIC REVIEW
55,38851772,Article,2015,349335100006,Self-Confirming Equilibrium and Model Uncertainty,10.1257/aer.20130930,1,4,2,Italy,IGIER,,"Cerreia-Vioglio, Simone",AMERICAN ECONOMIC REVIEW
56,38851772,Article,2015,349335100006,Self-Confirming Equilibrium and Model Uncertainty,10.1257/aer.20130930,1,4,2,Italy,Univ Bocconi,,"Cerreia-Vioglio, Simone",AMERICAN ECONOMIC REVIEW
57,38851772,Article,2015,349335100006,Self-Confirming Equilibrium and Model Uncertainty,10.1257/aer.20130930,1,4,2,Italy,IGIER,,"Maccheroni, Fabio",AMERICAN ECONOMIC REVIEW
58,38851772,Article,2015,349335100006,Self-Confirming Equilibrium and Model Uncertainty,10.1257/aer.20130930,1,4,2,Italy,Univ Bocconi,,"Maccheroni, Fabio",AMERICAN ECONOMIC REVIEW
59,38851772,Article,2015,349335100006,Self-Confirming Equilibrium and Model Uncertainty,10.1257/aer.20130930,1,4,2,Italy,IGIER,,"Marinacci, Massimo",AMERICAN ECONOMIC REVIEW
60,38851772,Article,2015,349335100006,Self-Confirming Equilibrium and Model Uncertainty,10.1257/aer.20130930,1,4,2,Italy,Univ Bocconi,,"Marinacci, Massimo",AMERICAN ECONOMIC REVIEW
61,38851772,Article,2015,349335100006,Self-Confirming Equilibrium and Model Uncertainty,10.1257/aer.20130930,1,4,2,Italy,IGIER,,"Battigalli, Pierpaolo",AMERICAN ECONOMIC REVIEW
62,38851772,Article,2015,349335100006,Self-Confirming Equilibrium and Model Uncertainty,10.1257/aer.20130930,1,4,2,Italy,Univ Bocconi,,"Battigalli, Pierpaolo",AMERICAN ECONOMIC REVIEW
63,38851773,Article,2015,349335100007,"Environmental Health Risks and Housing Values: Evidence from 1,600 Toxic Plant Openings and Closings",10.1257/aer.20121656,1,4,3,USA,Univ Chicago,Dept Econ,"Greenstone, Michael",AMERICAN ECONOMIC REVIEW
64,38851773,Article,2015,349335100007,"Environmental Health Risks and Housing Values: Evidence from 1,600 Toxic Plant Openings and Closings",10.1257/aer.20121656,1,4,3,USA,Princeton Univ,Dept Econ,"Currie, Janet",AMERICAN ECONOMIC REVIEW
65,38851773,Article,2015,349335100007,"Environmental Health Risks and Housing Values: Evidence from 1,600 Toxic Plant Openings and Closings",10.1257/aer.20121656,1,4,3,USA,Univ Calif Berkeley,Haas Sch Business,"Walker, Reed",AMERICAN ECONOMIC REVIEW
66,38851773,Article,2015,349335100007,"Environmental Health Risks and Housing Values: Evidence from 1,600 Toxic Plant Openings and Closings",10.1257/aer.20121656,1,4,3,USA,Univ Calif Berkeley,Haas Sch Business,"Davis, Lucas",AMERICAN ECONOMIC REVIEW
67,38851774,Article,2015,349335100008,Bankruptcy as Implicit Health Insurance,10.1257/aer.20131408,1,1,2,USA,Univ Chicago,Booth Sch Business,"Mahoney, Neale",AMERICAN ECONOMIC REVIEW
68,38851774,Article,2015,349335100008,Bankruptcy as Implicit Health Insurance,10.1257/aer.20131408,1,1,2,USA,NBER,,"Mahoney, Neale",AMERICAN ECONOMIC REVIEW
69,38851775,Article,2015,349335100009,Leader Punishment and Cooperation in Groups: Experimental Field Evidence from Commons Management in Ethiopia,10.1257/aer.20120700,1,2,1,Germany,Goethe Univ Frankfurt,Fac Econ & Business Adm,"Kosfeld, Michael",AMERICAN ECONOMIC REVIEW
70,38851775,Article,2015,349335100009,Leader Punishment and Cooperation in Groups: Experimental Field Evidence from Commons Management in Ethiopia,10.1257/aer.20120700,1,2,1,Germany,Goethe Univ Frankfurt,Fac Econ & Business Adm,"Rustagi, Devesh",AMERICAN ECONOMIC REVIEW
71,38851776,Article,2015,349335100010,The Price of Experience,10.1257/aer.20080841,2,3,4,South Korea,Yonsei Univ,Sch Econ,"Kim, Yong",AMERICAN ECONOMIC REVIEW
72,38851776,Article,2015,349335100010,The Price of Experience,10.1257/aer.20080841,2,3,4,South Korea,KDI Sch Publ Policy & Management,,"Jeong, Hyeok",AMERICAN ECONOMIC REVIEW
73,38851776,Article,2015,349335100010,The Price of Experience,10.1257/aer.20080841,2,3,4,South Korea,Seoul Natl Univ,Grad Sch Int Studies,"Jeong, Hyeok",AMERICAN ECONOMIC REVIEW
74,38851776,Article,2015,349335100010,The Price of Experience,10.1257/aer.20080841,2,3,4,USA,Univ Penn,Dept Econ,"Manovskii, Iourii",AMERICAN ECONOMIC REVIEW
75,38851777,Article,2015,349335100011,Optimal Life Cycle Unemployment Insurance,10.1257/aer.20111559,2,2,2,Argentina,UTDT,Buenos Aires,"Ruffo, Hernan",AMERICAN ECONOMIC REVIEW
76,38851777,Article,2015,349335100011,Optimal Life Cycle Unemployment Insurance,10.1257/aer.20111559,2,2,2,Italy,EIEF,,"Michelacci, Claudio",AMERICAN ECONOMIC REVIEW
77,38851778,Article,2015,349335100012,Evidence for Countercyclical Risk Aversion: An Experiment with Financial Professionals,10.1257/aer.20131314,1,4,1,Switzerland,Univ Zurich,Dept Econ,"Cohn, Alain",AMERICAN ECONOMIC REVIEW
78,38851778,Article,2015,349335100012,Evidence for Countercyclical Risk Aversion: An Experiment with Financial Professionals,10.1257/aer.20131314,1,4,1,Switzerland,Univ Zurich,Dept Econ,"Fehr, Ernst",AMERICAN ECONOMIC REVIEW
79,38851778,Article,2015,349335100012,Evidence for Countercyclical Risk Aversion: An Experiment with Financial Professionals,10.1257/aer.20131314,1,4,1,Switzerland,Univ Zurich,Dept Econ,"Engelmann, Jan",AMERICAN ECONOMIC REVIEW
80,38851778,Article,2015,349335100012,Evidence for Countercyclical Risk Aversion: An Experiment with Financial Professionals,10.1257/aer.20131314,1,4,1,Switzerland,Univ Zurich,Dept Econ,"Marechal, Michel Andre",AMERICAN ECONOMIC REVIEW
81,38851779,Article,2015,349335100013,Information Disclosure as a Matching Mechanism: Theory and Evidence from a Field Experiment,10.1257/aer.20110753,1,2,3,USA,NBER,,"Tadelis, Steven",AMERICAN ECONOMIC REVIEW
82,38851779,Article,2015,349335100013,Information Disclosure as a Matching Mechanism: Theory and Evidence from a Field Experiment,10.1257/aer.20110753,1,2,3,USA,Univ Calif Berkeley,Haas Sch Business,"Tadelis, Steven",AMERICAN ECONOMIC REVIEW
83,38851779,Article,2015,349335100013,Information Disclosure as a Matching Mechanism: Theory and Evidence from a Field Experiment,10.1257/aer.20110753,1,2,3,USA,Northwestern Univ,Kellogg Sch Management,"Zettelmeyer, Florian",AMERICAN ECONOMIC REVIEW
84,38851779,Article,2015,349335100013,Information Disclosure as a Matching Mechanism: Theory and Evidence from a Field Experiment,10.1257/aer.20110753,1,2,3,USA,NBER,,"Zettelmeyer, Florian",AMERICAN ECONOMIC REVIEW
85,38851780,Article,2015,349335100014,"Thar SHE Blows? Gender, Competition, and Bubbles in Experimental Asset Markets",10.1257/aer.20130683,2,2,2,Netherlands,Radboud Univ Nijmegen,Inst Management Res,"Fullbrunn, Sascha C.",AMERICAN ECONOMIC REVIEW
86,38851780,Article,2015,349335100014,"Thar SHE Blows? Gender, Competition, and Bubbles in Experimental Asset Markets",10.1257/aer.20130683,2,2,2,USA,Texas A&M Univ,Dept Econ,"Eckel, Catherine C.",AMERICAN ECONOMIC REVIEW
87,39107066,Article,2015,351872500001,Climate Clubs: Overcoming Free-riding in International Climate Policy,10.1257/aer.15000001,1,1,1,USA,Yale Univ,Econ,"Nordhaus, William",AMERICAN ECONOMIC REVIEW
88,39107067,Article,2015,351872500002,The Housing Market(s) of San Diego,10.1257/aer.20111662,1,3,2,USA,Stanford Univ,Dept Econ,"Piazzesi, Monika",AMERICAN ECONOMIC REVIEW
89,39107067,Article,2015,351872500002,The Housing Market(s) of San Diego,10.1257/aer.20111662,1,3,2,USA,Stanford Univ,Dept Econ,"Schneider, Martin",AMERICAN ECONOMIC REVIEW
90,39107067,Article,2015,351872500002,The Housing Market(s) of San Diego,10.1257/aer.20111662,1,3,2,USA,Univ Texas Austin,McCombs Sch Business,"Landvoigt, Tim",AMERICAN ECONOMIC REVIEW
91,39107068,Article,2015,351872500003,Has the US Finance Industry Become Less Efficient? On the Theory and Measurement of Financial Intermediation,10.1257/aer.20120578,1,1,3,USA,NYU,Stern Sch Business,"Philippon, Thomas",AMERICAN ECONOMIC REVIEW
92,39107068,Article,2015,351872500003,Has the US Finance Industry Become Less Efficient? On the Theory and Measurement of Financial Intermediation,10.1257/aer.20120578,1,1,3,USA,CEPR,,"Philippon, Thomas",AMERICAN ECONOMIC REVIEW
93,39107068,Article,2015,351872500003,Has the US Finance Industry Become Less Efficient? On the Theory and Measurement of Financial Intermediation,10.1257/aer.20120578,1,1,3,USA,NBER,,"Philippon, Thomas",AMERICAN ECONOMIC REVIEW
94,39107069,Article,2015,351872500004,The Anatomy of a Credit Crisis: The Boom and Bust in Farm Land Prices in the United States in the 1920s,10.1257/aer.20120525,1,2,2,USA,Univ Chicago,Booth Sch Business,"Rajan, Raghuram",AMERICAN ECONOMIC REVIEW
95,39107069,Article,2015,351872500004,The Anatomy of a Credit Crisis: The Boom and Bust in Farm Land Prices in the United States in the 1920s,10.1257/aer.20120525,1,2,2,USA,Fed Reserve Board,,"Ramcharan, Rodney",AMERICAN ECONOMIC REVIEW
96,39107070,Article,2015,351872500005,How Elastic Are Preferences for Redistribution? Evidence from Randomized Survey Experiments,10.1257/aer.20130360,1,4,4,USA,Univ Calif Berkeley,,"Saez, Emmanuel",AMERICAN ECONOMIC REVIEW
97,39107070,Article,2015,351872500005,How Elastic Are Preferences for Redistribution? Evidence from Randomized Survey Experiments,10.1257/aer.20130360,1,4,4,USA,Harvard Univ,Sch Business,"Norton, Michael I.",AMERICAN ECONOMIC REVIEW
98,39107070,Article,2015,351872500005,How Elastic Are Preferences for Redistribution? Evidence from Randomized Survey Experiments,10.1257/aer.20130360,1,4,4,USA,Harvard Univ,Littauer Ctr 226,"Stantcheva, Stefanie",AMERICAN ECONOMIC REVIEW
99,39107070,Article,2015,351872500005,How Elastic Are Preferences for Redistribution? Evidence from Randomized Survey Experiments,10.1257/aer.20130360,1,4,4,USA,Princeton Univ,,"Kuziemko, Ilyana",AMERICAN ECONOMIC REVIEW
100,39107071,Article,2015,351872500006,Wages and Informality in Developing Countries,10.1257/aer.20121110,4,3,5,Brazil,Univ Sao Paulo,Dept Econ,"Narita, Renata",AMERICAN ECONOMIC REVIEW
101,39107071,Article,2015,351872500006,Wages and Informality in Developing Countries,10.1257/aer.20121110,4,3,5,USA,NBER,,"Meghir, Costas",AMERICAN ECONOMIC REVIEW
102,39107071,Article,2015,351872500006,Wages and Informality in Developing Countries,10.1257/aer.20121110,4,3,5,USA,Yale Univ,Dept Econ,"Meghir, Costas",AMERICAN ECONOMIC REVIEW
103,39107071,Article,2015,351872500006,Wages and Informality in Developing Countries,10.1257/aer.20121110,4,3,5,England,UCL,,"Robin, Jean-Marc",AMERICAN ECONOMIC REVIEW
104,39107071,Article,2015,351872500006,Wages and Informality in Developing Countries,10.1257/aer.20121110,4,3,5,France,Sci Po,Off E410,"Robin, Jean-Marc",AMERICAN ECONOMIC REVIEW
105,39107072,Article,2015,351872500007,Medicare Part D: Are Insurers Gaming the Low Income Subsidy Design?,10.1257/aer.20130903,1,1,1,USA,Boston Univ,Dept Econ,"Decarolis, Francesco",AMERICAN ECONOMIC REVIEW
106,39107073,Article,2015,351872500008,Punishment and Deterrence: Evidence from Drunk Driving,10.1257/aer.20130189,1,1,2,USA,NBER,,"Hansen, Benjamin",AMERICAN ECONOMIC REVIEW
107,39107073,Article,2015,351872500008,Punishment and Deterrence: Evidence from Drunk Driving,10.1257/aer.20130189,1,1,2,USA,Univ Oregon,,"Hansen, Benjamin",AMERICAN ECONOMIC REVIEW
108,39107074,Article,2015,351872500009,Until the Bitter End: On Prospect Theory in a Dynamic Context,10.1257/aer.20130896,2,2,2,Netherlands,Tilburg Univ,Dept Finance,"Ebert, Sebastian",AMERICAN ECONOMIC REVIEW
109,39107074,Article,2015,351872500009,Until the Bitter End: On Prospect Theory in a Dynamic Context,10.1257/aer.20130896,2,2,2,USA,Univ Calif Berkeley,Dept Econ,"Strack, Philipp",AMERICAN ECONOMIC REVIEW
110,39107075,Article,2015,351872500010,"Correlation Neglect, Voting Behavior, and Information Aggregation",10.1257/aer.20140134,1,2,1,England,London Sch Econ,Dept Econ,"Razin, Ronny",AMERICAN ECONOMIC REVIEW
111,39107075,Article,2015,351872500010,"Correlation Neglect, Voting Behavior, and Information Aggregation",10.1257/aer.20140134,1,2,1,England,London Sch Econ,Dept Econ,"Levy, Gilat",AMERICAN ECONOMIC REVIEW
112,39107076,Article,2015,351872500011,Competitive Policy Development,10.1257/aer.20130250,1,2,2,USA,CALTECH,Div Humanities & Social Sci,"Hirsch, Alexander V.",AMERICAN ECONOMIC REVIEW
113,39107076,Article,2015,351872500011,Competitive Policy Development,10.1257/aer.20130250,1,2,2,USA,Stanford Grad Sch Business,,"Shotts, Kenneth W.",AMERICAN ECONOMIC REVIEW
114,39107192,Article,2015,351872000001,The Limits of Price Discrimination,10.1257/aer.20130848,1,3,3,USA,Univ Chicago,Becker Friedman Inst,"Brooks, Benjamin",AMERICAN ECONOMIC REVIEW
115,39107192,Article,2015,351872000001,The Limits of Price Discrimination,10.1257/aer.20130848,1,3,3,USA,Princeton Univ,Dept Econ,"Morris, Stephen",AMERICAN ECONOMIC REVIEW
116,39107192,Article,2015,351872000001,The Limits of Price Discrimination,10.1257/aer.20130848,1,3,3,USA,Yale Univ,Dept Econ,"Bergemann, Dirk",AMERICAN ECONOMIC REVIEW
117,39107193,Article,2015,351872000002,Credit Supply and the Price of Housing,10.1257/aer.20121416,2,2,3,France,CNRS,,"Imbs, Jean",AMERICAN ECONOMIC REVIEW
118,39107193,Article,2015,351872000002,Credit Supply and the Price of Housing,10.1257/aer.20121416,2,2,3,France,Paris Sch Econ,,"Imbs, Jean",AMERICAN ECONOMIC REVIEW
119,39107193,Article,2015,351872000002,Credit Supply and the Price of Housing,10.1257/aer.20121416,2,2,3,USA,Board Governors Fed Reserve Syst,Div Res & Stat,"Favara, Giovanni",AMERICAN ECONOMIC REVIEW
120,39107194,Article,2015,351872000003,"The Cyclicality of Sales, Regular and Effective Prices: Business Cycle and Policy Implications",10.1257/aer.20121546,1,3,3,USA,Univ Calif Berkeley,Dept Econ,"Gorodnichenko, Yuriy",AMERICAN ECONOMIC REVIEW
121,39107194,Article,2015,351872000003,"The Cyclicality of Sales, Regular and Effective Prices: Business Cycle and Policy Implications",10.1257/aer.20121546,1,3,3,USA,Univ Texas Austin,Dept Econ,"Coibion, Olivier",AMERICAN ECONOMIC REVIEW
122,39107194,Article,2015,351872000003,"The Cyclicality of Sales, Regular and Effective Prices: Business Cycle and Policy Implications",10.1257/aer.20121546,1,3,3,USA,Int Monetary Fund,,"Hong, Gee Hee",AMERICAN ECONOMIC REVIEW
123,39107195,Article,2015,351872000004,Adverse Selection and an Individual Mandate: When Theory Meets Practice,10.1257/aer.20130758,1,3,3,USA,Yale Univ,Dept Econ,"Kowalski, Amanda E.",AMERICAN ECONOMIC REVIEW
